deal_id,announcement_date,acquirer_name,acquirer_cik,acquirer_sic,target_name,target_cik,target_sic,sector,disclosed_synergy_usd,synergy_type,acquirer_sga,acquirer_cogs,target_sga,target_cogs,combined_sga,combined_cogs,acquirer_revenue,target_revenue,combined_revenue,acquirer_fy,target_fy,source_quote,source_url
0001193125-17-242457,2017-07-31,"Discovery Communications, Inc.",1437107,4841,"Scripps Networks Interactive, Inc.",1430602,4841,telecom,350000000.0,cost,1690000000.0,2432000000.0,806733000.0,1193228000.0,2496733000.0,3625228000.0,6497000000.0,3401435000.0,9898435000.0,2016,2016,$350 million in Cost Synergies,https://www.sec.gov/Archives/edgar/data/1437107/000119312517242457/d432284dex991.htm
0001104659-17-053761,2017-08-28,LITTELFUSE INC /DE,889331,3613,IXYS CORP /DE/,945699,3674,electronics,30000000.0,cost,206129000.0,643042000.0,41733000.0,216541000.0,247862000.0,859583000.0,1056159000.0,322123000.0,1378282000.0,2016,2017,$30 million in annualized cost synergies,https://www.sec.gov/Archives/edgar/data/889331/000110465917053761/a17-21031_1ex99d3.htm
0001193125-17-315994,2017-10-23,POTLATCH CORP,1338749,6798,DELTIC TIMBER CORP,1022469,2421,building_products,50000000.0,unspecified,52719000.0,462304000.0,23991000.0,150326000.0,76710000.0,612630000.0,599099000.0,219363000.0,818462000.0,2016,2016,$50 million in synergies,https://www.sec.gov/Archives/edgar/data/1338749/000119312517315994/d458871dex991.htm
0001193125-17-323836,2017-10-30,LENNAR CORP /NEW/,920760,1520,"CalAtlantic Group, Inc.",878560,1531,unknown,250000000.0,unspecified,232562000.0,9455074000.0,-664459000.0,-4997410000.0,-431897000.0,4457664000.0,10949999000.0,,,2016,2016,synergies of approximately $250 million,https://www.sec.gov/Archives/edgar/data/920760/000119312517323836/d483134dex991.htm
0001171843-17-006519,2017-11-02,WestRock Co,1636023,2650,KAPSTONE PAPER & PACKAGING CORP,1325281,2621,paper_packaging,200000000.0,cost,1379400000.0,11413200000.0,224127000.0,2214872000.0,1603527000.0,13628072000.0,14171800000.0,,,2016,2016,$200 million in cost synergies,https://www.sec.gov/Archives/edgar/data/1636023/000117184317006519/exh_102.htm
0001193125-17-347488,2017-11-20,MARVELL TECHNOLOGY GROUP LTD,1058057,3674,"CAVIUM, INC.",1175609,3674,electronics,162500000.0,unspecified,127376000.0,1029527000.0,161051000.0,318000000.0,288427000.0,1347527000.0,2317674000.0,603314000.0,2920988000.0,2017,2016,$162.5 million of annual run-rate synergies,https://www.sec.gov/Archives/edgar/data/1175609/000119312517347488/d476675dex992.htm
0001104659-17-070155,2017-11-22,SELECT MEDICAL HOLDINGS CORP,1320414,8060,CIK 1035688,1035688,8093,healthcare_services,38000000.0,unspecified,106927000.0,3664843000.0,106927000.0,3664843000.0,213854000.0,7329686000.0,,,,2016,2016,$38mm in run-rate synergies,https://www.sec.gov/Archives/edgar/data/1320414/000110465917070155/a17-27447_1ex99d1.htm
0001193125-17-372233,2017-12-18,MCDERMOTT INTERNATIONAL INC,708819,3443,CHICAGO BRIDGE & IRON CO N V,1027884,1700,construction,250000000.0,cost,178752000.0,2249616000.0,349874000.0,9653502000.0,528626000.0,11903118000.0,2635983000.0,10679558000.0,13315541000.0,2016,2016,$250 million of cost synergies,https://www.sec.gov/Archives/edgar/data/708819/000119312517372233/d475253dex992.htm
0001193125-18-045081,2018-02-14,GRANITE CONSTRUCTION INC,861459,1600,LAYNE CHRISTENSEN CO,888504,1700,construction,20000000.0,unspecified,219299000.0,2213247000.0,-97202000.0,-502050000.0,122097000.0,1711197000.0,2514617000.0,601972000.0,3116589000.0,2016,2017,synergies of approximately $20 million,https://www.sec.gov/Archives/edgar/data/861459/000119312518045081/d542847dex996.htm
0001193125-18-078154,2018-03-12,Lumentum Holdings Inc.,1633978,3669,"OCLARO, INC.",1110647,3674,electronics,60000000.0,unspecified,110200000.0,677000000.0,58461000.0,365729000.0,168661000.0,1042729000.0,1001600000.0,600968000.0,1602568000.0,2017,2017,$60 million in annual run-rate synergies,https://www.sec.gov/Archives/edgar/data/1633978/000119312518078154/d547353dex991.htm
0001104659-18-028086,2018-04-30,"T-Mobile US, Inc.",1283699,4812,SPRINT Corp,101830,4813,telecom,43000000000.0,unspecified,12259000000.0,6100000000.0,7994000000.0,7861000000.0,20253000000.0,13961000000.0,40604000000.0,33347000000.0,73951000000.0,2017,2017,$43 billion in synergies,https://www.sec.gov/Archives/edgar/data/1283699/000110465918028086/a18-12444_1ex99d1.htm
0001193125-18-168568,2018-05-21,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,943452,3743,GENERAL ELECTRIC CO,40545,3600,electronics,250000000.0,unspecified,-511898000.0,-2816443000.0,18280000000.0,27606000000.0,17768102000.0,24789557000.0,3881756000.0,122092000000.0,125973756000.0,2017,2017,synergies of $250 million,https://www.sec.gov/Archives/edgar/data/943452/000119312518168568/d576670dex991.htm
